"Category","Flood","Landslide","Storm","Drought","Earthquake","Volcanic activity","Mass movement (dry)","Epidemic","Wildfire"
1981,307622,NaN,1101545
1982,201085,,1019615
1983,1835,,170530,1691060,1901
1984,,,4535206,,,70000
1985,5444,,1603974,,175,,NaN
1986,615,,1242736
1987,,,3237632,1002100
1988,,NaN,4517505
1989,307511,1277,2136865
1990,712736,,6319583,254282,1632072,,,200
1991,823,,1571865,,,1041865
1992,1053832,,1046294,,,1578,,NaN
1993,348084,NaN,3581327,,,165009
1994,811583,73843,1991217,,271084
1995,129185,,3276812,,NaN,2500
1996,96000,8,37628,,,,,1673
1997,105000,,366770
1998,,,7322999,2600000,,,,11000,300
1999,2105016,45,1387290,,190,,,402
2000,165643,2838,6187431,,,68426,NaN,664
2001,91300,,3450437,,,83221
2002,155567,,982194,NaN,73451,,,12
2003,3500,217988,466261
2004,21694,6,3241278,,,,,98
2005,193046,,20011
2006,732509,14651,7821808,,,43849
2007,86747,,1922309,NaN,,14036
2008,1602889,5028,6851979
2009,1083276,16,12221663,,392,47137
2010,2846935,927,2595545,,,14161,,123939
2011,2218828,889,9468676,,28,33931,,7595
2012,4614628,23,7560480,,353157,,,3158
2013,4500338,,17944571,,3222224
2014,145130,,13068983,,,60545
2015,231309,,3606205,181687
2016,2563098,,2971512,,202
2017,1842000,,2966048,,58357
2018,180000,,11026882,,,86056,,79376
2019,45000,,6025139,16000,712735,,,129597
2020,,11,5374740,,4980,736802